典型情景,测试情景编号,分位位置,年份,年度利润/元,七年累计利润/元
最差情景,1110,0.0,2024,4801594.913647575,35684286.06494167
最差情景,1110,0.0,2025,4945237.650200846,35684286.06494167
最差情景,1110,0.0,2026,5085476.786210533,35684286.06494167
最差情景,1110,0.0,2027,4840256.982090609,35684286.06494167
最差情景,1110,0.0,2028,5356190.339987975,35684286.06494167
最差情景,1110,0.0,2029,5249038.622837695,35684286.06494167
最差情景,1110,0.0,2030,5406490.769966429,35684286.06494167
下行典型情景（P10）,4408,0.1,2024,4971490.141707521,36136500.832678914
下行典型情景（P10）,4408,0.1,2025,4878565.105475389,36136500.832678914
下行典型情景（P10）,4408,0.1,2026,5149492.202758023,36136500.832678914
下行典型情景（P10）,4408,0.1,2027,4848537.5831065085,36136500.832678914
下行典型情景（P10）,4408,0.1,2028,5472119.957414159,36136500.832678914
下行典型情景（P10）,4408,0.1,2029,5254142.189392445,36136500.832678914
下行典型情景（P10）,4408,0.1,2030,5562153.652824877,36136500.832678914
中位情景（P50）,735,0.5,2024,4950669.993684558,36382071.419664904
中位情景（P50）,735,0.5,2025,4997626.129805329,36382071.419664904
中位情景（P50）,735,0.5,2026,5221553.27523388,36382071.419664904
中位情景（P50）,735,0.5,2027,4943342.740337609,36382071.419664904
中位情景（P50）,735,0.5,2028,5486213.794025887,36382071.419664904
中位情景（P50）,735,0.5,2029,5250783.071903575,36382071.419664904
中位情景（P50）,735,0.5,2030,5531882.414674069,36382071.419664904
上行情景（P90）,1256,0.9,2024,4853261.194402434,36627085.65786463
上行情景（P90）,1256,0.9,2025,4955972.5730242375,36627085.65786463
上行情景（P90）,1256,0.9,2026,5321367.130798884,36627085.65786463
上行情景（P90）,1256,0.9,2027,5038964.391808894,36627085.65786463
上行情景（P90）,1256,0.9,2028,5450595.4832551805,36627085.65786463
上行情景（P90）,1256,0.9,2029,5381994.272435261,36627085.65786463
上行情景（P90）,1256,0.9,2030,5624930.612139735,36627085.65786463
最佳情景,457,1.0,2024,5139777.525990088,37009442.68848057
最佳情景,457,1.0,2025,4917261.332298161,37009442.68848057
最佳情景,457,1.0,2026,5322789.799327172,37009442.68848057
最佳情景,457,1.0,2027,5030284.229404987,37009442.68848057
最佳情景,457,1.0,2028,5480635.2362768985,37009442.68848057
最佳情景,457,1.0,2029,5455878.982523875,37009442.68848057
最佳情景,457,1.0,2030,5662815.582659384,37009442.68848057
