年份,作物大类,种植面积/亩
2024,其他粮食,753.3172571450723
2024,其他蔬菜,162.2
2024,豆类,396.88274285492776
2024,食用菌,9.6
2025,其他粮食,559.3045132203983
2025,其他蔬菜,152.1
2025,豆类,606.9954867796016
2025,食用菌,9.6
2026,其他粮食,728.0
2026,其他蔬菜,180.6
2026,豆类,405.8
2026,食用菌,9.6
2027,其他粮食,628.0967481335588
2027,其他蔬菜,145.1
2027,豆类,524.2032518664412
2027,食用菌,9.600000000000001
2028,其他粮食,644.1398378588806
2028,其他蔬菜,170.3
2028,豆类,509.9601621411195
2028,食用菌,9.6
2029,其他粮食,738.0
2029,其他蔬菜,158.64901656519675
2029,豆类,407.7509834348033
2029,食用菌,9.6
2030,其他粮食,730.9900995292305
2030,其他蔬菜,165.3
2030,豆类,413.1099004707695
2030,食用菌,9.6
