原训练情景编号,代表情景编号,代表情景原编号,到代表情景标准化距离,代表情景概率
1,21,69,46.13563267571254,0.025
2,14,106,44.846737323180754,0.025
3,27,142,43.67553921070776,0.025
4,30,122,44.39291387349617,0.025
5,35,54,44.838442742718584,0.025
6,6,200,41.93066281415842,0.025
7,21,69,44.68136114179493,0.025
8,17,76,44.84081796797212,0.025
9,26,140,44.549939930503285,0.025
10,30,122,43.209799529437845,0.025
11,32,45,45.00771762997559,0.025
12,20,158,45.054858023427464,0.025
13,34,153,44.33620621478082,0.025
14,27,142,43.89335347470512,0.025
15,4,68,43.89586822441795,0.025
16,33,85,45.10411941856715,0.025
17,12,198,44.09573441294383,0.025
18,28,25,44.23618740915673,0.025
19,13,19,0.0,0.025
20,9,74,42.52895679329282,0.025
21,6,200,44.904157976605475,0.025
22,36,81,43.537754962121085,0.025
23,10,134,44.334946086048156,0.025
24,29,183,46.26623115447368,0.025
25,28,25,0.0,0.025
26,31,52,48.22139229344141,0.025
27,23,71,44.18894905162617,0.025
28,9,74,42.76558467277617,0.025
29,6,200,44.898308825615146,0.025
30,33,85,44.73088493341532,0.025
31,37,137,44.86996918181514,0.025
32,28,25,44.54432331318231,0.025
33,37,137,46.35594579888277,0.025
34,2,112,44.59880391337715,0.025
35,19,98,43.98410981605271,0.025
36,9,74,45.45409564537096,0.025
37,35,54,43.85906681154653,0.025
38,33,85,46.729436841152655,0.025
39,22,72,45.81760086236024,0.025
40,34,153,44.28912122549049,0.025
41,40,100,43.664970786300344,0.025
42,10,134,44.19921447980628,0.025
43,29,183,45.730747795256995,0.025
44,27,142,42.86547632137718,0.025
45,32,45,0.0,0.025
46,25,75,43.66734134442005,0.025
47,34,153,44.65017274741307,0.025
48,20,158,42.7286782402036,0.025
49,27,142,45.88572510046232,0.025
50,17,76,45.32590876548686,0.025
51,5,177,44.995468883875375,0.025
52,31,52,0.0,0.025
53,33,85,43.06910147510199,0.025
54,35,54,0.0,0.025
55,35,54,45.13806282586658,0.025
56,3,150,46.11123345885656,0.025
57,12,198,45.68807786890355,0.025
58,15,64,43.814267620947184,0.025
59,5,177,47.07700794515986,0.025
60,8,60,0.0,0.025
61,4,68,45.152831430093016,0.025
62,39,188,44.54631967159362,0.025
63,26,140,44.988563282648705,0.025
64,15,64,0.0,0.025
65,2,112,44.48949373005326,0.025
66,38,66,0.0,0.025
67,24,115,42.66434930221334,0.025
68,4,68,0.0,0.025
69,21,69,0.0,0.025
