测试情景编号,七年累计利润/元,七年销售收入/元,七年种植成本/元,七年总产量/斤,七年正常销量/斤,七年滞销率
1,36371452.1861372,43921417.850409195,7549965.664271989,11004507.737431047,8006088.618275186,0.27247189885259043
2,36235561.65058763,43767468.060241155,7531906.4096535165,10997739.244544432,7967922.464206409,0.27549450964124306
3,36209276.88747635,43745490.035982564,7536213.148506213,10977371.134523224,7945417.413200345,0.27620034743906513
4,36317079.22102711,43905060.38304329,7587981.162016171,11047095.563721746,7991798.651882721,0.2765701531425606
5,36231461.716423236,43775775.577088505,7544313.860665269,11056013.354946315,7996469.60064001,0.2767311919840894
6,36212528.91142625,43736397.01469959,7523868.103273345,11022754.762623321,8024521.141662428,0.2720040212749267
7,36049691.32746707,43625989.285432935,7576297.957965863,10950090.633426525,7959517.240031593,0.2731094648902569
8,36425237.14869882,43941769.943447456,7516532.794748631,10975906.446923714,8002805.884451245,0.27087517344007234
9,36542823.53020616,44113186.26577685,7570362.735570699,11027154.306100778,8006853.702034587,0.2738966482399914
10,36390768.62357615,43961030.81802107,7570262.194444913,10962230.628133088,7978362.781652739,0.2721953175134497
11,36367184.025949925,43876037.577056214,7508853.551106284,10992191.12385901,8021437.052963087,0.2702604091779097
12,36662834.241977476,44219789.107343376,7556954.865365902,10980729.089197041,8032776.577695279,0.2684660087281444
13,36167152.07439297,43719159.24132636,7552007.166933398,11079948.1825243,8004949.416841751,0.27752826231918204
14,36595053.29762386,44111115.55165316,7516062.254029312,11048828.044873264,8059697.27951922,0.27053826462083663
15,36551873.982507326,44098918.43423011,7547044.451722786,11159854.977735152,8068578.999988877,0.2769996549160926
16,36887336.11631063,44391406.03854759,7504069.922236955,11074360.236142514,8085804.168269128,0.269862638034825
17,36134446.05279173,43685724.547354735,7551278.494563002,11062609.337097097,7976028.275965797,0.2790102196577467
18,36466657.93956136,43979093.7329808,7512435.793419432,11051722.544249786,8030627.7539064875,0.2733596304329206
19,36207801.722597614,43781185.60653325,7573383.883935632,10945456.827253193,8005484.783704089,0.26860204100653345
20,36314096.81585252,43870611.39658022,7556514.580727697,11124555.700463321,8040203.331657138,0.27725622953892215
21,36475498.39362906,44005147.712881744,7529649.319252688,11155207.488628313,8047410.556816803,0.27859606690235184
22,36145599.47655547,43731271.75088626,7585672.274330794,10981877.275217934,7964888.697375744,0.2747243027975213
23,36467469.80742801,43983630.86267344,7516161.055245432,11023247.401452988,8037866.581947679,0.2708258928409611
24,36270852.78119297,43818908.286022455,7548055.504829488,11040259.144220406,8016140.896521999,0.27391732460207135
25,36074282.039169446,43631323.703088544,7557041.663919102,10989978.061348232,7993270.927786455,0.2726763526581732
26,35853422.40290892,43373680.16764437,7520257.764735437,10898067.231651943,7942006.188634024,0.2712463577424486
27,36167577.45551086,43692234.45611023,7524657.000599369,11016475.894523535,7985999.963263829,0.2750857860784866
28,36264635.46659959,43779697.448539205,7515061.9819396185,10945079.929268522,7952369.612138803,0.2734297361435283
29,36513844.301996954,44102721.062909484,7588876.76091253,11000601.387246959,8016538.240550239,0.27126363747314364
30,36396247.72342451,43953670.60655855,7557422.883134041,11061481.707624944,8012417.017075773,0.2756470399844695
31,35892128.960405685,43447566.237060346,7555437.276654661,11063267.952178668,7921326.359941805,0.2839976041272802
32,36354522.627678126,43873303.128302425,7518780.5006242925,11037370.17769878,7969930.501913653,0.2779139982079199
33,36663373.12330804,44204906.01203534,7541532.888727292,11149916.42091418,8106691.712578425,0.27293699732380966
34,36531244.86201291,44077806.7275448,7546561.865531892,11072088.160290042,8059266.023735825,0.27210965925647884
35,36256734.50574021,43800240.71665009,7543506.210909889,11008276.308834072,7927888.416800454,0.27982472510811035
36,36321069.887087665,43838156.08545368,7517086.198366014,11046427.79151449,8000100.736741494,0.2757748579240328
37,36429143.6685472,43993033.36425292,7563889.695705721,11097870.503349155,8027642.446281724,0.27665019664276014
38,36450678.128150955,43987606.986663364,7536928.858512409,11087075.3337079,8039083.007257167,0.2749140088535305
39,36532117.07148404,44070645.01327181,7538527.941787775,11067067.81878799,8059782.844052543,0.2717327682432861
40,36411156.66363319,43934743.24808093,7523586.584447744,10978753.801022626,8030848.425822331,0.26851001749631276
41,36340927.20468374,43879253.65538515,7538326.450701408,11060087.056033626,7957491.973941795,0.2805217595822872
42,36356776.03400603,43913055.85437212,7556279.820366085,11113376.559048992,8014708.101699054,0.2788233117887891
43,35957486.298142955,43518852.28036165,7561365.982218698,10989581.498753179,7920613.116710886,0.2792616245114049
44,36141583.446491465,43702409.72106262,7560826.274571165,11075948.879843466,8021309.171707481,0.2757903400669321
45,36598009.1207961,44118001.40760565,7519992.286809552,11143561.459700255,8012958.954621875,0.28093374962752604
46,36392374.25382544,43949060.946971424,7556686.693145988,11102067.403555688,8057957.122580752,0.2741931002868881
47,36553928.02682657,44127064.96419817,7573136.937371603,11063395.604226287,8024680.293593575,0.2746638933775363
48,36474207.699272186,44014453.97427056,7540246.274998366,11114988.407169148,8031168.964116457,0.2774469329238016
49,36523049.07091591,44052360.62191433,7529311.550998417,11113387.751018232,8018984.659552072,0.27843922670498417
50,36567769.75015831,44103926.0588759,7536156.308717584,11029281.391500246,8010894.021049896,0.27367035650903604
51,36495099.51786306,44025959.80787341,7530860.290010344,10984381.526802614,7939712.204827747,0.27718167969181273
52,36318240.520400286,43820300.79658208,7502060.276181793,11014698.869987367,7948300.50876705,0.2783914837268569
53,36271361.69885316,43830307.727144316,7558946.028291155,10990581.751675397,8005497.575372373,0.2716038371533864
54,36761264.86910272,44321303.250223055,7560038.3811203465,11072699.334953682,8089938.9285527915,0.26937969831665876
55,36441207.80430778,43994974.45097791,7553766.646670128,11021238.770751406,7971754.242307324,0.276691630757236
56,36336546.429946385,43876069.68736935,7539523.257422963,11001292.278808666,7987321.15487888,0.27396518950191645
57,36040473.8006435,43572971.16074425,7532497.360100741,11052560.538778435,7943535.626614081,0.28129453815305444
58,36448111.98341422,43993656.34886178,7545544.365447566,11114554.847153107,8059943.541041596,0.27482983782242276
59,36167629.169234425,43751836.909784384,7584207.740549962,11064720.043371642,7992153.519595208,0.27769039900987513
60,36551255.75121665,44114187.66814856,7562931.916931911,11026778.180622462,7993815.845946703,0.2750542619970023
61,36019551.68284364,43583755.53417766,7564203.851334011,11035311.059094222,7966273.065392835,0.27811069187507736
62,36437459.53319733,43956661.08210116,7519201.548903828,11082446.028406575,8027350.969154408,0.2756697439736078
63,36400711.44166812,43980465.06815429,7579753.626486164,11091261.048498891,8021898.006196059,0.27673706613534665
64,36605549.08274122,44162940.70655012,7557391.6238089,11007159.890855074,8017343.927514313,0.271624650953308
65,36693241.34938928,44201439.131249644,7508197.781860361,11042371.802242426,8053325.841832475,0.27068876269887526
66,36463525.73306804,44024755.68924587,7561229.956177828,11106903.67845916,8025805.367664736,0.2774038922089454
67,36609086.74218647,44182724.360902,7573637.618715519,11150203.39191866,8094094.995568639,0.2740854394248089
68,36568770.32194519,44125671.768787146,7556901.446841961,11137742.755323254,8011444.925883591,0.28069402374601055
69,36614305.29842804,44181076.52406642,7566771.225638365,11072654.118982332,8054393.618695209,0.27258690354219484
70,36249347.52843762,43787863.6008752,7538516.072437573,11045349.86885225,8017405.310126065,0.2741374962928926
71,36353513.130925745,43900030.38972166,7546517.258795919,10945346.955899853,7983639.44594258,0.27059055522774716
72,36743111.96561469,44253756.829478055,7510644.863863355,11128768.487056192,8037487.3940133825,0.2777738701850309
73,36343748.844260626,43902345.57463425,7558596.730373625,11034404.236247966,7950795.997278596,0.27945398527631704
74,36360398.33617851,43864199.07259634,7503800.736417832,11054619.6736097,8008832.065403858,0.275521700260475
75,36302593.81101221,43836198.93197603,7533605.120963834,11034350.908990536,7991253.006124001,0.27578404275570834
76,36459584.87901456,44030741.21948233,7571156.340467768,11013541.159356141,8017673.963013105,0.2720167067971603
77,36715595.653160565,44231764.083994344,7516168.430833779,10981007.002226397,8040826.026688259,0.26775148899750423
78,36433141.20820059,43947506.608499534,7514365.400298948,11137165.615820704,8012205.67786824,0.2805884410584106
79,36677016.18384215,44190784.46241057,7513768.278568425,11119458.702626871,8045729.466888018,0.2764279555274316
80,36613450.85157177,44166791.263563335,7553340.411991559,11100498.64547982,8057752.285650896,0.27410897987613797
81,36175288.92723078,43695546.57633702,7520257.649106232,11019797.144939715,7975509.114071485,0.2762562677722399
82,36610363.22078892,44155959.46666335,7545596.245874433,10995715.311345173,8019566.8640383165,0.2706643781724798
83,36461847.96954026,44039270.720605105,7577422.751064856,11087903.324279932,8028154.940234437,0.27595373936435375
84,36472371.61635428,44052175.84776804,7579804.231413765,11044026.50575555,7990649.547155624,0.2764731646568097
85,36205758.96091391,43736035.56593192,7530276.605018013,10945262.410774464,8019166.536017859,0.26733903354168737
86,36188982.53085496,43749319.43282459,7560336.901969637,11127614.76541441,7983451.905146278,0.28255497036440025
87,36567206.40373211,44088497.90517134,7521291.501439221,11113845.846142432,8048722.004481687,0.27579326581397884
88,36177010.47615538,43725428.02379614,7548417.547640763,10981633.623325916,7980101.358648814,0.27332292877642483
89,36627010.89582361,44140872.84787744,7513861.95205383,11078598.021838697,8081053.005818691,0.27057078974353
90,36536205.32651512,44078211.67247875,7542006.345963635,11159365.596236944,8057254.669862129,0.2779827311528247
91,36481535.24467513,43986836.36426762,7505301.119592491,11156879.50724161,8090789.11700447,0.27481612472797873
92,36720585.345426664,44237399.74814351,7516814.40271684,11150748.19585332,8030455.38228782,0.2798281118683909
93,36279283.382798046,43872242.90689701,7592959.524098966,11077647.971956085,7992008.744992523,0.2785464238234591
94,36172906.64157062,43732262.49763159,7559355.856060969,10974170.602241183,7963405.363732578,0.27435013976306655
95,36570866.04714103,44145448.20960727,7574582.162466241,11030735.492343558,8053202.980068857,0.2699305512620993
96,36517643.70800734,44050252.48705075,7532608.779043399,11024929.14366169,8023093.79852427,0.27227706464337664
97,36152357.06070772,43710227.562993616,7557870.502285895,10961186.742202807,7951488.327824841,0.27457778844237846
98,36134830.41042261,43638908.026437156,7504077.616014551,10970122.306738023,7954274.113134829,0.274914728320833
99,36445027.42301092,43983681.031590305,7538653.608579388,10972519.475147981,8004732.747666672,0.27047450079292606
100,36624266.356734216,44121832.10634288,7497565.749608666,11112981.312368222,8048227.811267292,0.27578139609485386
101,36470750.79438967,44028860.86887547,7558110.074485796,11070267.833664013,8017352.806416704,0.27577607634420365
102,36776611.75650465,44318118.371844806,7541506.6153401565,11146035.450271245,8074524.3193056965,0.2755698332980631
103,36532816.21885353,44090796.89142518,7557980.6725716395,11020124.52934736,8022499.333297061,0.27201373161141823
104,36252867.54388542,43819460.019518584,7566592.475633163,10986190.08677671,7999806.755508419,0.27183066264826294
105,36387173.092899986,43893637.47299383,7506464.380093849,10959043.08283624,8020558.3006578265,0.26813333609214385
106,36191874.209531754,43738414.297325,7546540.087793236,10886609.095287208,7950144.725728215,0.26973177266281956
107,36188623.6512821,43694874.22603689,7506250.574754786,11078780.882946968,7999942.600412182,0.27790406860324257
108,36600808.76927084,44152251.52171803,7551442.7524472,10981189.953897387,8008694.365179069,0.27068975231262027
109,36584591.857541084,44118236.4205709,7533644.563029811,11111397.20537218,8034347.231643988,0.27692736717579397
110,36185626.643986054,43690441.01731121,7504814.37332515,10974693.685657365,7968705.079615664,0.2739018228791365
111,36473088.55572494,44009514.14542468,7536425.589699734,11184039.839430783,8046594.4496075725,0.28052881023918924
112,36455291.671346575,44000966.62366584,7545674.952319264,11109457.594987787,8050806.602717365,0.2753195613843814
113,36307850.853283964,43848520.70500636,7540669.851722397,11004538.575444046,8007766.686664633,0.27232144884897996
114,36523569.33751481,44081907.924155295,7558338.586640492,11204650.338977292,8040908.127536538,0.2823597449029833
115,36405374.47461567,44004205.90345752,7598831.428841854,10968224.136668356,8002931.174341144,0.2703530603841154
116,36433598.96631265,44011777.20042572,7578178.234113075,11034166.386555867,7981160.804603428,0.276686563805332
