测试情景编号,2024年利润/元,2025年利润/元,2026年利润/元,2027年利润/元,2028年利润/元,2029年利润/元,2030年利润/元
1,4881361.844414886,4968050.155442223,5254651.946746934,4855575.010277631,5537114.745594421,5379238.047207841,5495460.436453271
2,4902642.165185584,4813175.1416311,5287817.361560535,4959878.655788248,5459047.845123896,5218176.236874428,5594824.244423844
3,4895387.287380301,4912703.698686195,5309409.960495578,4984827.435965916,5396664.008399205,5157532.963389035,5552751.533160115
4,4871470.955463542,4979682.355931969,5221960.020066336,5092028.256293261,5333462.222245736,5314044.139673272,5504431.271353002
5,4933721.360418557,4994601.750936187,5237751.065119709,4931906.782637973,5458265.7920204485,5185081.062721526,5490133.9025688395
6,4909919.5847637355,4929953.53161812,5245972.1503343675,4913034.730863917,5397682.096674355,5387625.556641884,5428341.260529875
7,4910083.389047556,4838014.367094356,5195459.128775054,4953945.150380995,5387913.951229742,5254900.495895816,5509374.845043551
8,4999685.481197532,4956928.024705051,5314633.943225856,4843523.420375649,5460219.919302068,5366941.039778927,5483305.320113736
9,4914125.524353641,4922216.095410614,5281555.100412015,4913334.462150433,5581023.569831827,5332995.762821987,5597573.015225639
10,4964496.261676532,4910677.628613632,5264002.789755075,5063999.752145776,5412779.804722281,5273071.724551393,5501740.662111463
11,4887484.678979795,4890323.095361419,5322772.759992509,4958523.952406075,5491032.197536023,5278852.6012863675,5538194.740387735
12,4851772.445860228,5004460.381384462,5382447.545111646,5027333.536326156,5501031.815902883,5384093.539575328,5511694.97781677
13,4883479.333120943,4807866.82382598,5290260.547562443,4887137.955788532,5366409.640173629,5388894.485289194,5543103.288632244
14,5057131.340124247,4880484.35242732,5324690.1796960095,4928577.125241352,5448302.27802307,5420192.372716036,5535675.649395821
15,4974809.821408546,5014418.685171768,5173155.973756333,5072283.795214567,5370902.288864587,5374792.824803849,5571510.593287677
16,4895778.958213205,4968741.340414579,5400766.304051403,5115248.392929213,5515984.296229047,5370791.424232115,5620025.400241071
17,4964119.288131863,5016166.744926368,5269822.443447158,4837472.546171246,5431036.608716995,5176703.030104476,5439125.391293629
18,5054937.919173587,4880303.775595566,5264002.485966312,4958618.208058065,5401022.048648026,5320125.094947418,5587648.407172392
19,4929748.334449109,4918647.829970133,5237471.498520248,4964649.101752985,5421020.350074681,5291864.1639280245,5444400.443902435
20,4947638.461442545,4973808.13794939,5249998.443266754,4937790.495270127,5361828.219207045,5319497.222020883,5523535.836695775
21,4917546.6117422795,4932988.605433848,5193189.549242765,5054936.34637698,5408653.474751398,5360152.360180786,5608031.445900995
22,4880324.645219511,4888770.483981498,5292210.142778221,4911491.33615797,5382048.555857111,5374549.496517389,5416204.816043762
23,4944905.2029088205,4965794.277225606,5137952.188436434,4955394.529326711,5526503.215109621,5348654.4354067575,5588265.959014058
24,4873221.161916913,4989058.806163543,5276445.875828262,4882779.182691937,5425604.779672766,5230495.2925001485,5593247.682419399
25,4965331.42872858,4815518.95061865,5222846.776361524,5026059.771571568,5356734.610714557,5240196.027995967,5447594.4731786
26,4905122.816411962,4887180.345708272,5080735.529034799,4918134.098901366,5383781.449915052,5168498.560413364,5509969.602524105
27,4867259.43971583,4873569.4362435425,5328034.737969398,4903009.363574133,5380380.048003728,5274105.625920931,5541218.804083303
28,4976521.218200908,4907824.206827469,5310436.790917983,4847567.340079434,5440850.173612605,5130645.847086871,5650789.889874314
29,4949598.54037797,4999712.436505375,5220579.394553297,4977113.188701003,5507485.543522194,5333075.394316682,5526279.804020435
30,5025591.304108096,4878194.885769303,5258230.790411457,5068632.348208977,5389902.564426213,5262816.98704021,5512878.843460247
31,4870238.384329193,4814271.735136265,5230093.620752743,4900532.719175976,5354906.582265703,5239045.873530844,5483040.045214961
32,4906013.805972912,4835798.610896893,5205264.994457826,4926932.217101916,5483349.63522798,5410187.055796762,5586976.308223842
33,4938332.080885616,5012851.008067557,5248872.665401249,5048871.544085001,5475478.648266328,5403132.001121489,5535835.175480805
34,4977361.402207313,4911900.487079226,5326831.354270965,4987127.481109638,5455438.474760268,5418951.252952023,5453634.4096334735
35,4910383.22517309,5041399.858977488,5233236.561714734,4897462.47156348,5437661.530867422,5210007.087844728,5526583.769599267
36,4890706.450204442,4803841.312356977,5265852.733642501,5001864.762060438,5346878.443757603,5411814.245848622,5600111.939217086
37,4945775.456028082,4929749.195022627,5144334.773175295,4990095.560406696,5451040.643699766,5348976.49630611,5619171.543908619
38,4869211.377359408,4963619.444527157,5263350.664154671,4985243.6782238325,5397171.40757468,5429717.790319619,5542363.765991585
39,4973006.890437377,4844873.645650795,5346500.464347759,4959693.59886895,5493540.378438282,5364582.557784269,5549919.535956607
40,4972820.9861097345,4976410.608611682,5236593.497265254,5037924.614274626,5346415.4416612135,5298734.246203141,5542257.269507539
41,4951481.263255342,4942055.200291308,5226618.550578452,4923259.953203325,5389131.883170792,5413075.011014324,5495305.343170202
42,5016165.575879505,4870221.167758837,5332644.421374192,4925693.527684321,5430236.797729574,5328847.294082814,5452967.249496788
43,4871782.910126655,4870983.79265165,5259050.671215879,4925880.393634587,5502523.483290446,5252019.846885992,5275245.200337749
44,4966230.69374091,4888243.91458719,5144273.810482807,4952850.390307036,5377591.610287368,5282582.737709312,5529810.289376837
45,4908977.579267343,4936387.290275141,5326830.281076654,4954091.4812284745,5468817.524067608,5303633.406599471,5699271.558281406
46,4903424.9117740905,4973654.566997194,5278001.725575616,4953975.85203318,5341729.387277979,5369098.109500308,5572489.700667073
47,4955444.776834278,4949815.101127086,5223560.096360137,5032977.839494868,5426969.399171106,5347940.915173735,5617219.898665358
48,4943838.992324162,4825910.902276034,5182875.726572082,5029104.254244787,5407226.314935936,5416836.074791841,5668415.4341273485
49,4909604.974617268,4906753.406326731,5256949.948283599,4999727.342314889,5465641.7600257555,5380821.216027908,5603550.423319758
50,4889842.018826041,5000616.084177855,5334245.538153962,4945439.04699456,5596472.12073555,5262441.320924143,5538713.620346203
51,4876839.813066332,4952432.837694588,5314208.162096728,4999020.145676699,5484816.610751106,5305158.981631899,5562622.966945708
52,4912076.228528683,4981183.358982133,5216774.546208582,4916380.519570431,5525412.987808647,5297116.236425083,5469296.642876726
53,4886986.998281652,4948357.203731718,5285623.923938014,5041598.174265013,5352193.6192955235,5254468.307694927,5502133.4716463145
54,4952829.458834923,4915975.501638018,5341200.30997371,4974225.403111789,5383312.136517482,5468488.889918752,5725233.169108038
55,4938279.7371447785,4945298.403655618,5229882.557575749,4982008.820387052,5526870.95079657,5202090.801613081,5616776.53313493
56,4939993.631223787,4948900.735778988,5257500.51498753,4900671.463727848,5445757.751676539,5320441.847499957,5523280.485051735
57,4877356.503049167,4953019.656948268,5160499.777423066,4890138.274542888,5450779.4959819345,5266385.997967746,5442294.094730437
58,4935803.972575378,4978178.879720858,5205825.874876402,5001927.663815188,5442286.69846203,5357306.476965902,5526782.416998453
59,4873154.961255692,4983656.740219489,5260457.376476115,4899299.934845246,5422419.303952821,5312055.961014466,5416584.891470593
60,4922473.079593205,5022305.0447074445,5364460.037174385,4880652.978271465,5406197.617849171,5313743.107516071,5641423.886104914
61,4906347.646351748,4840807.794586253,5215955.948772514,4874984.37853508,5396712.37478903,5244651.357353691,5540092.182455327
62,4987750.091485116,4982357.099486644,5254724.2469776645,4944464.4451722745,5388389.960623418,5318406.3250434315,5561367.364408779
63,4993840.726167183,4861474.322737962,5216317.615839619,4931163.392892009,5486058.891895132,5363538.9658539165,5548317.526282305
64,4969085.298919164,4972019.605301024,5248421.361552956,4916707.683887559,5508497.79600499,5506069.399617006,5484747.937458527
65,4953396.346357685,5033882.752829273,5365417.11620471,4996615.463101182,5409151.435546502,5375478.540864463,5559299.694485465
66,4859272.835405396,4916694.230663277,5267144.716685187,4913788.0728954505,5483513.111969205,5421420.003608058,5601692.761841465
67,4927746.214542538,5036471.895183844,5216318.769701421,4987586.576190608,5506203.2047894765,5361078.047515886,5573682.034262706
68,4903378.049352841,4929657.163423472,5277908.8839364955,5040815.452314646,5426233.912260495,5366409.177210532,5624367.683446705
69,4972161.60062547,4901740.811223623,5256190.186145322,5032133.070298246,5533702.620566244,5376147.964936935,5542229.044632208
70,5000758.153180563,4930332.520235067,5263229.983615196,4977973.801930824,5406918.143122149,5266551.288834181,5403583.6375196455
71,4955170.322387053,4882904.789737744,5243646.299539837,4970019.059730629,5391641.053193308,5372346.250653498,5537785.355683675
72,4992577.9564864095,4930265.64301973,5268939.413018446,4984530.1000742,5479093.574208673,5397227.277750784,5690478.00105645
73,4986701.61939542,4893472.620336793,5221511.188994869,4937848.405360132,5497244.669691841,5293749.261657754,5513221.078823813
74,4928469.952943691,4932845.5056458255,5348405.677927119,4961239.472451581,5346564.545607598,5294831.385499468,5548041.796103228
75,4882193.451193964,4862075.48126301,5137234.14646313,5010649.906231772,5436819.577543335,5306560.309587687,5667060.938729305
76,4937298.824900131,4894826.642595202,5395393.546487741,4922951.250641235,5464520.409847034,5288835.911362784,5555758.293180433
77,4917224.381088744,4969609.633486263,5319243.057160639,5010184.864368193,5450331.4989767205,5424108.5823051045,5624893.635774905
