年份,作物大类,种植面积/亩
2024,其他粮食,684.5807820677076
2024,其他蔬菜,143.99259390653242
2024,豆类,473.82662402576
2024,食用菌,9.6
2025,其他粮食,733.5939303279721
2025,其他蔬菜,155.2098827108686
2025,豆类,425.59618696115933
2025,食用菌,9.6
2026,其他粮食,767.0
2026,其他蔬菜,137.6
2026,豆类,385.8
2026,食用菌,9.6
2027,其他粮食,709.7645640597216
2027,其他蔬菜,142.93103392876546
2027,豆类,449.7044020115129
2027,食用菌,9.6
2028,其他粮食,696.4854303848311
2028,其他蔬菜,145.69600847560318
2028,豆类,472.2185611395656
2028,食用菌,9.6
2029,其他粮食,761.0
2029,其他蔬菜,142.90399152439682
2029,豆类,392.49600847560316
2029,食用菌,9.6
2030,其他粮食,779.323229920734
2030,其他蔬菜,122.6
2030,豆类,380.47677007926603
2030,食用菌,9.6
