方案,年份,平均利润/元,P10利润/元,P50利润/元,P90利润/元
问题二既有方案,2024,4925622.180154982,4822951.486859621,4925550.440054889,5028685.4245793475
问题二既有方案,2025,4920246.53061673,4799604.906081293,4922504.982274484,5037271.183029175
问题二既有方案,2026,5264608.625390316,5129821.650789819,5266179.952441313,5395894.657763576
问题二既有方案,2027,4960456.889614973,4830806.81318675,4960994.328427255,5089811.790946338
问题二既有方案,2028,5438408.516217614,5318887.026531837,5438426.358385158,5556477.166159277
问题二既有方案,2029,5328401.4376904955,5186567.361586395,5329014.833235984,5468093.869556919
问题二既有方案,2030,5550749.692694619,5387351.1901265355,5551791.489036263,5712485.3179983385
问题三最终方案,2024,5514919.262929146,5392208.5165835535,5516035.718767602,5637129.767341682
问题三最终方案,2025,5643828.542208399,5508360.855454333,5645025.274051956,5778416.063970434
问题三最终方案,2026,5897072.03037718,5760389.862468291,5899942.479256048,6028819.66266653
问题三最终方案,2027,5851704.181217772,5694621.58531699,5852716.319669561,6005738.88204307
问题三最终方案,2028,5701273.376806007,5557747.141444404,5702771.656968536,5842679.474149305
问题三最终方案,2029,6023126.583790979,5850601.959385876,6026713.710149543,6184902.067459008
问题三最终方案,2030,6067613.504146254,5882639.14807805,6068084.024269106,6247746.72025023
