测试情景编号,问题二方案七年利润/元,问题三方案七年利润/元,配对利润差Q3-Q2/元,问题二方案滞销率,问题三方案滞销率
1,36622242.195191525,40801473.99583147,4179231.8006399423,0.2668628031294411,0.10376229651488532
2,35606368.38014761,40001966.028100654,4395597.647953041,0.28106986855309324,0.11617308227866456
3,36448304.23427818,40878672.284646355,4430368.050368175,0.27632374721309494,0.10296980139568938
4,36576974.960944355,40948986.103479855,4372011.1425355,0.2813033317742836,0.11298819401060971
5,36157609.566796005,40414107.94381409,4256498.377018087,0.26959785414881265,0.10306105849933263
6,35684173.32976816,39889120.962506026,4204947.6327378675,0.27085380370648293,0.10523419010792512
7,36114158.02440847,40385768.957437225,4271610.933028758,0.2717105003766627,0.10144409131383843
8,36117227.28253783,40377009.98982996,4259782.707292125,0.2742091367721419,0.10811773744365465
9,36098690.07171383,40263469.262791425,4164779.1910775974,0.2770131862119916,0.11367099371493207
10,36481087.04888602,40710663.45565356,4229576.40676754,0.27672753261365524,0.10783260827346171
11,36540456.18172426,40805322.704576835,4264866.522852577,0.27808744317422046,0.11451325867886827
12,36683286.471540265,41025037.329729974,4341750.8581897095,0.27282203265176874,0.1047604187595629
13,35996508.90824283,40488578.42552396,4492069.51728113,0.2806352537772931,0.1088453177373065
14,36854531.57785658,41207710.5379708,4353178.960114226,0.2694994143870657,0.09821683424785986
15,36055719.726791576,40310451.79687897,4254732.070087396,0.27373013598445983,0.1066152564937562
16,36559136.49053409,40928206.721655555,4369070.231121466,0.2658422046231283,0.09545194318426149
17,36100236.37496344,40390812.37525283,4290576.000289388,0.27706752933583895,0.11229160548732416
18,36708552.71212776,41094582.32133399,4386029.609206229,0.274044349978356,0.1067843803620383
19,36514817.5025268,40639985.233014084,4125167.730487287,0.2757399918724818,0.110219470135989
20,36091799.27524362,40478938.66718084,4387139.391937226,0.27326069252666446,0.10565115251304054
21,36773841.82742452,41038727.34129992,4264885.5138754025,0.2772690887034564,0.10978829613384511
22,36345770.9436412,40596237.67840333,4250466.734762132,0.2736549415288422,0.10764031370150767
23,36532654.32986671,40793242.976864204,4260588.6469974965,0.2732127617625533,0.10725392167053285
24,36357246.82230155,40464322.389208786,4107075.5669072345,0.27685835847966994,0.10952033298728263
25,36039206.9317463,40386469.39212929,4347262.460382991,0.27597517808100447,0.11306830840167292
26,36260949.997687526,40586620.56427932,4325670.566591792,0.26776730921870523,0.10475503149446222
27,36410888.838898346,40739115.6536368,4328226.814738452,0.277453131239403,0.11254375256066983
28,35917103.2390966,39972097.42410767,4054994.185011074,0.2623307787561624,0.0921725616510993
29,36539298.92583593,40873862.74377717,4334563.817941241,0.2720520493801612,0.10909595964270846
